batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out,time_stamp
24.0721,1.5116,13.9143,0.0338809,36.4534,0.0,1.1700773239135742
24.0839,1.5114,13.8483,0.0363254,36.4534,0.3315488,2.2343380451202393
24.1058,1.5063,13.7818,0.0352302,36.3653,0.3315488,3.2346577644348145
24.1191,1.5103,13.9404,0.035724,36.3653,0.3125313,4.1993207931518555
24.1237,1.5122,13.8013,0.0379714,36.5367,0.3125313,5.163503170013428
24.1324,1.5089,13.9742,0.0375391,36.5367,0.3532166,6.228269577026367
24.1424,1.5043,13.7488,0.0360501,36.3721,0.3532166,7.191580295562744
24.1531,1.5031,13.8214,0.0349549,36.3721,0.2990158,8.256953716278076
24.1718,1.502,13.8032,0.0333795,36.358,0.2990158,9.22200322151184
24.1706,1.5006,13.9263,0.0351005,36.358,0.3030006,10.190686225891113
24.1759,1.5003,14.0671,0.0368046,36.3218,0.3030006,11.256295919418335
24.1863,1.4987,13.96,0.0380944,36.3218,0.3338865,12.219405889511108
24.1861,1.4993,14.0904,0.0361067,36.3153,0.3338865,13.185657024383545
24.1979,1.4962,13.8788,0.0368078,36.3153,0.3343522,14.250907897949219
24.2084,1.497,14.0751,0.0388771,36.2924,0.3343522,15.214990854263306
24.2175,1.4949,14.051,0.0361847,36.2924,0.324023,16.17924451828003
24.2244,1.4958,13.8756,0.0377971,36.2858,0.324023,17.241380214691162
24.229,1.4958,13.7829,0.0398918,36.2858,0.3916564,18.21628499031067
24.2447,1.4924,14.0332,0.0381527,36.2337,0.3916564,19.179654836654663
24.2401,1.4945,13.7867,0.037984,36.2337,0.3519461,20.245911359786987
24.2546,1.4932,13.8662,0.0365805,36.2679,0.3519461,21.20757222175598
24.2595,1.4905,13.8999,0.0371841,36.2679,0.341631,22.173163652420044
24.2693,1.4935,13.848,0.0377256,36.2977,0.341631,23.24120306968689
24.2803,1.491,13.8596,0.0371551,36.2977,0.310367,24.204180479049683
24.2911,1.4908,13.9365,0.038405,36.2639,0.310367,25.16760754585266
24.2979,1.4922,14.0408,0.037058,36.2639,0.3363524,26.23319983482361
24.2988,1.4886,14.0876,0.0371938,36.2218,0.3363524,27.19812273979187
24.3078,1.4907,14.1668,0.0373548,36.2218,0.3461377,28.15999174118042
24.3111,1.4865,14.1206,0.0391386,36.1901,0.3461377,29.222595930099487
24.3125,1.4844,14.1871,0.0372341,36.1901,0.3392214,30.186960697174072
24.327,1.4874,13.9778,0.0367589,36.2366,0.3392214,31.252408266067505
24.3353,1.4879,13.908,0.0369315,36.2366,0.2992534,32.241331338882446
24.3353,1.4888,14.0479,0.0359518,36.2814,0.2992534,33.215550899505615
24.345,1.4872,14.1576,0.0372083,36.2814,0.3348132,34.181559801101685
24.3432,1.4849,14.1073,0.0395003,36.2008,0.3348132,35.24288558959961
24.3503,1.4838,14.0038,0.0394639,36.2008,0.3723154,36.20489573478699
24.358,1.4832,14.1155,0.039258,36.1793,0.3723154,37.16531825065613
24.362,1.4824,14.1033,0.0382438,36.1793,0.3730014,38.229613304138184
24.3744,1.4803,14.0195,0.0359,36.1361,0.3730014,39.19357943534851
24.3731,1.4796,14.0072,0.03784,36.1361,0.3602704,41.02483081817627
24.3807,1.4796,14.0072,0.03784,0.3602704,0.3602704,41.36725926399231
24.3864,1.4788,13.9007,0.0357811,0.3602704,36.1261,42.22787261009216
24.3958,1.4767,13.8413,0.0357005,36.0783,36.1261,43.191909074783325
24.3999,1.4766,13.9983,0.0355658,36.0783,0.3207524,44.25488495826721
24.4059,1.4807,13.8346,0.0347033,36.1885,0.3207524,45.21768546104431
24.4147,1.4816,13.7982,0.0370726,36.1885,0.3434437,46.18387794494629
24.4177,1.4796,13.9828,0.034207,36.18,0.3434437,47.248847246170044
24.4244,1.4799,13.9447,0.0347655,36.18,0.2999691,48.21238446235657
24.44,1.4742,14.0766,0.0377844,36.0828,0.2999691,49.17542386054993
24.4433,1.4769,14.0886,0.0381495,36.0828,0.3572982,50.244431018829346
24.4599,1.4793,13.9071,0.0379919,36.2379,0.3572982,51.20519399642944
24.4598,1.4791,13.9624,0.0368567,36.2379,0.3421561,52.17317485809326
24.4613,1.4774,14.0745,0.0361648,36.1901,0.3421561,53.23837423324585
24.4606,1.4797,14.0798,0.0360035,36.1901,0.3160394,54.201345920562744
24.4638,1.4741,14.059,0.0361266,36.1134,0.3160394,55.1638298034668
24.4693,1.4798,14.108,0.0360301,36.1134,0.3215493,56.225943088531494
24.4796,1.4786,14.1471,0.0361482,36.2504,0.3215493,57.19083881378174
24.4852,1.4745,14.0247,0.0353746,36.2504,0.2901165,58.25358700752258
24.4893,1.471,14.0295,0.0364737,36.0778,0.2901165,59.218260526657104
24.4889,1.4704,14.0071,0.0357861,36.0778,0.3033866,60.2487096786499
24.494,1.4689,14.0375,0.0361432,36.0319,0.3033866,61.214688539505005
24.4965,1.4682,14.197,0.0380393,36.0319,0.3633863,62.18011498451233
24.5103,1.4694,14.0666,0.0372518,36.0688,0.3633863,63.24467945098877
24.5162,1.473,14.2163,0.0374655,36.0688,0.3402918,64.20849180221558
24.5121,1.4739,14.2811,0.0363154,36.1796,0.3402918,65.17365884780884
24.5269,1.4719,13.9796,0.0369981,36.1796,0.3298424,66.2374517917633
24.5321,1.4699,14.0585,0.0357962,36.0807,0.3298424,69.29057955741882
24.5362,1.4739,13.9139,0.0342017,36.0807,0.2902603,70.93087458610535
24.5463,1.4739,13.9139,0.0342017,36.2312,0.2902603,71.5466046333313
24.5463,1.4739,13.9139,0.0342017,36.2312,36.2312,72.9476888179779
24.5543,1.4667,14.1633,0.0357408,36.0938,36.2312,74.5768928527832
24.5546,1.4678,14.2576,0.0397879,36.0938,0.4114286,76.11790466308594
24.5546,1.4678,14.2576,0.0397879,36.0907,0.4114286,77.39631986618042
24.5712,1.4689,14.1426,0.0380503,36.0907,0.3683822,79.76560974121094
24.5783,1.4671,14.1426,0.0380503,36.1096,0.3683822,80.275883436203
24.5783,1.4671,14.1426,0.0380503,36.1096,36.1096,80.78053140640259
24.5783,1.4671,14.1426,0.0380503,36.1096,36.1096,81.07852077484131
24.5783,1.4671,14.1426,0.0380503,36.1096,36.1096,81.33552360534668
24.5783,1.4671,14.1426,0.0380503,36.1096,36.1096,81.59356498718262
24.5783,1.4671,14.1426,0.0380503,36.1096,36.1096,81.8525664806366
24.5783,1.4671,14.1426,0.0380503,36.1096,36.1096,82.11277961730957
24.5783,1.4671,14.1426,0.0380503,36.1096,36.1096,82.37177848815918
24.5997,1.4688,13.7315,0.037226,36.1821,36.1096,83.2321560382843
24.6021,1.464,13.9425,0.035895,36.1821,0.3085215,84.19596481323242
24.6042,1.4666,14.2866,0.0373467,36.1335,0.3085215,85.16116094589233
24.6163,1.466,14.1676,0.0378511,36.1335,0.3444094,86.22742962837219
24.6176,1.4659,14.0116,0.0346289,36.1369,0.3444094,87.19358372688293
24.6104,1.4656,14.1183,0.0341332,36.1369,0.2838409,88.15755772590637
24.6094,1.4643,14.2942,0.0368762,36.0852,0.2838409,89.22482657432556
24.6202,1.4671,14.2965,0.0378653,36.0852,0.3467315,90.1863534450531
24.6256,1.4645,14.3403,0.038547,36.1149,0.3467315,91.25134873390198
24.6333,1.4661,14.1556,0.0376699,36.1149,0.3391011,92.24931073188782
24.6446,1.4649,14.2553,0.0370046,36.1497,0.3391011,93.21422362327576
24.6451,1.4698,14.1783,0.0374318,36.1497,0.3437312,94.17722821235657
24.6396,1.4631,14.3411,0.0395989,36.0979,0.3437312,95.24049854278564
24.6475,1.4644,14.3118,0.0367556,36.0979,0.3192475,96.2049207687378
24.6514,1.4592,14.216,0.0349033,36.0169,0.3192475,97.16869139671326
24.6561,1.4623,14.1024,0.0365083,36.0169,0.3315035,98.23481822013855
24.6509,1.4661,14.1366,0.0361714,36.1886,0.3315035,99.19620251655579
24.6651,1.4667,14.2441,0.0387921,36.1886,0.3371712,100.16067838668823
24.6576,1.4603,14.2624,0.0399189,36.0527,0.3371712,101.22446179389954
24.6697,1.4601,14.2182,0.0395444,36.0527,0.3665835,102.18830513954163
24.6805,1.4586,14.185,0.0387039,36.0474,0.3665835,103.25046968460083
24.6892,1.4609,14.2183,0.0370191,36.0474,0.321129,104.21384644508362
24.6799,1.4584,14.3211,0.0385719,36.0408,0.321129,105.17985510826111
24.6863,1.4573,14.4079,0.0368257,36.0408,0.3288032,106.24346089363098
24.6959,1.457,14.3364,0.0387767,36.0281,0.3288032,107.20870351791382
24.6997,1.4558,14.4333,0.0378495,36.0281,0.3559028,108.1729588508606
24.7046,1.458,14.2435,0.0382045,36.0674,0.3559028,109.23450374603271
24.7009,1.4587,14.192,0.0360784,36.0674,0.3143158,110.2005090713501
24.7048,1.4567,14.1299,0.0379192,36.0326,0.3143158,111.16946792602539
24.7069,1.456,14.0949,0.0372196,36.0326,0.3364774,112.36913514137268
24.7139,1.4502,14.0973,0.037427,35.888,0.3364774,113.89306092262268
24.7139,1.4502,14.0973,0.037427,35.888,0.3252778,114.37512755393982
24.711,1.4528,14.1936,0.0410425,0.3252778,0.3252778,115.22721457481384
24.7117,1.45,14.1836,0.0375263,0.3252778,0.3402528,116.19210910797119
24.7258,1.4498,14.2471,0.0383769,35.8954,0.3402528,117.25444507598877
24.7252,1.4472,14.2835,0.0403153,35.8954,0.3689978,118.22438454627991
24.7296,1.4495,14.287,0.0383503,35.8901,0.3689978,119.23156547546387
24.7347,1.4519,14.3485,0.0386014,35.8901,0.376472,120.19519853591919
24.7315,1.4495,14.3113,0.0369559,35.896,0.376472,121.16170573234558
24.7438,1.4526,14.2107,0.0382673,35.896,0.3610189,122.22585344314575
24.7469,1.4543,14.1226,0.0380739,36.0352,0.3610189,123.18842220306396
24.7513,1.4529,14.1656,0.0391034,36.0352,0.3725873,124.25286769866943
24.7482,1.4547,14.3328,0.0382155,36.0478,0.3725873,125.21579909324646
24.752,1.4535,14.1257,0.0381369,36.0478,0.3557887,126.18215227127075
24.7552,1.4539,14.1019,0.0379445,36.037,0.3557887,127.24484014511108
24.7683,1.4537,14.1109,0.0371324,36.037,0.3206258,128.21236395835876
24.7672,1.4519,14.4266,0.0368225,36.0064,0.3206258,129.1741178035736
24.7549,1.4562,14.3432,0.0365986,36.0064,0.325345,130.23731088638306
24.7674,1.4524,14.415,0.0357996,36.0158,0.325345,131.20125436782837
24.7768,1.4561,14.1209,0.038055,36.0158,0.3370087,132.16359329223633
24.7822,1.4512,14.2831,0.0396247,36.0096,0.3370087,133.22969937324524
24.7822,1.4556,14.2365,0.0392305,36.0096,0.3512633,134.1917552947998
24.7836,1.4526,14.0976,0.0388987,36.0449,0.3512633,135.27064776420593
24.7792,1.4521,14.2953,0.0382406,36.0449,0.3411107,136.23398423194885
24.7804,1.4538,14.2762,0.0382704,36.0711,0.3411107,137.19933223724365
24.7884,1.4538,14.1463,0.0175348,36.0711,0.0208927,138.16269731521606
24.7817,1.4528,14.2572,0.0180641,36.0492,0.0208927,139.23085618019104
24.7894,1.4522,14.137,0.0174972,36.0492,0.0188738,140.19664931297302
24.7917,1.4532,14.3403,0.01674,36.0738,0.0188738,141.16066145896912
24.795,1.4536,14.3066,0.0176746,36.0738,0.0213053,142.2260046005249
24.7986,1.4507,14.431,0.017627,36.0223,0.0213053,143.18460273742676
24.8068,1.4466,14.3495,0.0178334,36.0223,0.021485,144.25061178207397
24.8063,1.4452,14.3383,0.0173525,35.8947,0.021485,145.2166612148285
24.8002,1.4498,14.2341,0.017425,35.8947,0.0208552,146.18193078041077
24.809,1.4501,14.2221,0.0172763,36.0204,0.0208552,147.2441484928131
24.8181,1.4508,14.1001,0.016936,36.0204,0.0032722,148.20776295661926
24.8181,1.4495,14.1508,0.0168543,36.0196,0.0032722,149.1720540523529
24.8137,1.4483,14.3054,0.0169961,36.0196,0.0019814,150.24047446250916
24.8183,1.4502,14.1996,0.0173283,36.0354,0.0019814,151.20648384094238
24.8241,1.4504,14.2614,0.0178603,36.0354,0.0233023,152.1700954437256
24.83,1.4476,14.1529,0.0175929,35.989,0.0233023,153.2342929840088
24.8347,1.4518,14.2099,0.0170736,35.989,0.0144264,154.19545030593872
24.8364,1.4495,14.3777,0.01674,36.0444,0.0144264,155.15890979766846
24.8247,1.4501,14.1162,0.0169679,36.0444,0.0162391,156.22603726387024
24.8337,1.4465,14.2662,0.0172936,35.964,0.0162391,157.1910696029663
24.8335,1.446,14.5182,0.0170314,35.964,0.0265214,158.25756192207336
24.8365,1.4441,14.48,0.0167149,35.9092,0.0265214,159.22318315505981
24.8412,1.4428,14.5833,0.0172798,35.9092,-0.0064975,160.18770384788513
24.8501,1.4443,14.4856,0.0169183,35.9332,-0.0064975,161.2527937889099
24.8584,1.4435,14.3525,0.0174215,35.9332,0.0252119,162.21853256225586
24.8564,1.4453,14.5611,0.0174525,35.9696,0.0252119,163.18352508544922
24.8624,1.4443,14.6457,0.0176814,35.9696,0.0164829,164.25095582008362
24.8555,1.443,14.4642,0.0175724,35.9079,0.0164829,165.2156286239624
24.8733,1.4459,14.4265,0.0169643,35.9079,0.0033988,166.17992687225342
24.8586,1.4419,14.238,0.0172519,35.8886,0.0033988,167.24546718597412
24.8679,1.4413,14.2296,0.017238,35.8886,0.0155828,168.20979619026184
24.869,1.4422,14.3617,0.0171508,35.9116,0.0155828,169.17465138435364
24.8735,1.4435,14.3892,0.0172936,35.9116,0.0052068,170.24038553237915
24.8812,1.4424,14.4858,0.0168828,35.9351,0.0052068,171.20245218276978
24.8809,1.4415,14.2691,0.0174869,35.9351,0.0230648,172.16478538513184
24.8821,1.4428,14.3713,0.0179942,35.9451,0.0230648,173.2280478477478
24.8797,1.4421,14.4127,0.0180641,35.9451,0.0262964,174.19384384155273
24.8928,1.4441,14.1116,0.0168579,35.9899,0.0262964,175.15889811515808
