batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out,time_stamp
29.2492,0.2862686,14.383,0.0180375,8.3906,0.0,1.1683979034423828
29.2394,0.2866747,14.4773,0.0184942,8.3906,-0.0376475,2.2312726974487305
29.2493,0.2888049,14.5597,0.0182821,8.4567,-0.0376475,3.1939284801483154
29.2427,0.2883748,14.4986,0.0182656,8.4567,-0.0391508,4.256183862686157
29.2402,1.116,14.3803,0.0183247,32.6413,-0.0391508,5.218948841094971
29.243,0.2550915,14.3675,0.0183541,32.6413,-0.0433418,6.180164813995361
29.2485,0.2569817,14.2204,0.0181106,7.524,-0.0433418,7.242974519729614
29.249,0.260267,14.2543,0.0178132,7.524,-0.0323407,8.20416784286499
29.2502,0.2528343,14.3661,0.0184779,7.4032,-0.0323407,9.167110204696655
29.2485,0.2546545,14.363,0.0180575,7.4032,-0.0355348,10.229321002960205
29.244,0.2530883,14.435,0.0175759,7.4089,-0.0355348,11.192091226577759
29.246,0.2656556,14.4993,0.0178166,7.4089,-0.0291623,12.253286838531494
29.2485,0.2571567,14.475,0.0182623,7.5289,-0.0291623,13.215455770492554
29.247,0.2576968,14.3585,0.0179441,7.5289,-0.0410854,14.177989482879639
29.2402,0.2590319,14.2798,0.0185589,7.5816,-0.0410854,15.240217685699463
29.2383,0.2589819,14.549,0.0175895,7.5816,-0.0481236,16.202229738235474
29.2351,0.2628083,14.2991,0.0185331,7.6907,-0.0481236,17.16377592086792
29.2421,0.3209631,14.6198,0.0182328,7.6907,-0.0378038,18.22706699371338
29.2467,0.3235573,14.6444,0.0178872,9.4717,-0.0378038,19.190038442611694
29.2449,0.2375778,14.5522,0.017678,9.4717,-0.039804,20.254241228103638
29.2477,0.179791,14.6534,0.0181205,5.2668,-0.039804,21.217273473739624
29.2436,0.0936064,14.6448,0.0181106,5.2668,-0.0544508,22.195467710494995
29.2423,0.0952825,14.6379,0.0187519,2.7939,-0.0544508,23.158369541168213
29.2466,0.0762906,14.5594,0.0180874,2.7939,-0.0372694,24.2229266166687
29.2394,0.0763646,14.4237,0.0181106,2.2401,-0.0372694,25.18229055404663
29.2491,0.0730903,14.6134,0.017644,2.2401,-0.0423917,26.245951175689697
29.2475,0.0752725,14.4814,0.0183017,2.2091,-0.0423917,27.207491874694824
29.2508,0.0510651,14.5283,0.01782,2.2091,-0.043159,28.169487953186035
29.2504,0.0570127,14.68,0.0174663,1.6752,-0.043159,29.231666326522827
29.2414,0.0614551,14.822,0.0177593,1.6752,-0.0452201,30.193373203277588
29.2463,0.0654765,14.7098,0.0178671,1.9224,-0.0452201,31.25503158569336
29.2475,0.0709601,14.5995,0.0175314,1.9224,-0.0173158,32.21896815299988
29.2452,0.0692759,14.6458,0.017857,2.0337,-0.0173158,33.18050932884216
29.2431,0.069882,14.5034,0.0179375,2.0337,-0.0326033,34.241843700408936
29.241,0.0732603,14.5775,0.0173767,2.1495,-0.0326033,35.20586967468262
29.2468,0.0724212,14.4551,0.01818,2.1495,-0.0462781,36.16900157928467
29.2444,0.0663076,14.4151,0.0172832,1.9468,-0.0462781,37.233208894729614
29.2503,0.0738274,14.337,0.0179776,1.9468,-0.0250088,38.19424343109131
29.2422,0.0765307,14.3305,0.0173767,2.2456,-0.0250088,39.25502276420593
29.2414,0.0734133,14.5792,0.0177559,2.2456,-0.0399915,40.21846604347229
29.2484,0.1121912,14.4925,0.0174594,3.2894,-0.0399915,41.18197512626648
29.2476,0.1079058,14.6306,0.0177153,3.2894,-0.0312375,42.24482440948486
29.2471,0.109699,14.4643,0.0175554,3.2164,-0.0312375,43.20641732215881
29.2532,0.1085359,14.4885,0.0173698,3.2164,-0.0306937,44.169965505599976
