batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out,time_stamp
25.0331,1.5676,14.9109,0.025631,39.2892,0.0,1.1663541793823242
25.0611,1.5627,14.7648,0.0274968,39.2892,0.1959868,2.230388879776001
25.0757,1.5574,14.9956,0.0276122,39.097,0.1959868,3.190582036972046
25.0854,1.5563,14.7836,0.0261249,39.097,0.1731142,4.254000663757324
25.1036,1.5572,14.6665,0.025631,39.1367,0.1731142,5.2143027782440186
25.1137,1.5551,14.8278,0.0248633,39.1367,0.1444848,6.174452066421509
25.1196,1.5524,14.809,0.0267804,39.0404,0.1444848,7.237557649612427
25.1321,1.5548,14.9535,0.0270213,39.0404,0.1860717,8.198115348815918
25.1353,1.5515,14.7332,0.0277012,39.0407,0.1860717,9.160387516021729
25.1512,1.5545,14.6794,0.0257291,39.0407,0.1647227,10.222165822982788
25.1616,1.5553,14.8172,0.0262555,39.1794,0.1647227,11.18491530418396
25.1579,1.5557,14.696,0.0253319,39.1794,0.1428018,12.247534036636353
25.1691,1.5549,14.6636,0.0259312,39.1812,0.1428018,13.209941864013672
25.1603,1.5552,14.694,0.0262257,39.1812,0.1719344,14.172314882278442
25.1894,1.5526,14.7251,0.026587,39.1502,0.1719344,15.23388671875
25.1823,1.5495,14.6854,0.029009,39.1502,0.2265617,16.19416379928589
25.194,1.5465,14.729,0.0275056,39.0045,0.2265617,17.257816314697266
25.1995,1.5527,14.7981,0.0268744,39.0045,0.1820245,18.220038414001465
25.2047,1.5487,14.8016,0.0256731,39.0779,0.1820245,19.18063497543335
25.2073,1.5452,14.8132,0.0266637,39.0779,0.1787538,20.24201774597168
25.2176,1.5445,14.8233,0.0292726,38.9909,0.1787538,21.20178747177124
25.2114,1.5453,14.7759,0.0269858,38.9909,0.1819119,22.160804748535156
25.2169,1.5442,14.7653,0.0273151,38.9827,0.1819119,23.222623109817505
25.221,1.5428,14.9554,0.0251607,38.9827,0.1477992,24.184627294540405
25.2243,1.5416,14.7554,0.0261937,38.9287,0.1477992,25.248640060424805
25.2389,1.5436,14.8134,0.0261019,38.9287,0.1633898,26.212931871414185
25.2424,1.5431,14.7541,0.026399,38.9961,0.1633898,27.173537492752075
25.2593,1.5457,14.6242,0.0251822,38.9961,0.1427846,28.23556685447693
25.2537,1.5448,14.8106,0.027547,39.0552,0.1427846,29.19669771194458
25.2538,1.5413,14.7161,0.0265645,39.0552,0.1819354,30.157623529434204
25.2622,1.5423,14.8905,0.0265825,39.0039,0.1819354,31.219176292419434
25.2648,1.5463,14.5981,0.0264603,39.0039,0.1725188,32.17993760108948
25.27,1.5421,14.6346,0.0262692,39.0124,0.1725188,33.24302530288696
25.2773,1.5414,14.7032,0.0261134,39.0124,0.1671011,34.20458745956421
25.2825,1.5452,14.6933,0.0277445,39.1107,0.1671011,35.16433548927307
25.2819,1.5385,14.7355,0.0254618,39.1107,0.1531809,36.225547552108765
25.2823,1.5428,14.8001,0.0262669,39.0502,0.1531809,37.1877555847168
25.2796,1.5418,14.5994,0.0255982,39.0502,0.1496025,38.24722957611084
25.289,1.5391,14.8157,0.0283542,38.9659,0.1496025,39.208035469055176
25.2853,1.5413,15.0296,0.0289531,38.9659,0.2243256,40.1704785823822
25.2948,1.542,14.7615,0.0266006,39.0498,0.2243256,41.232943296432495
25.2964,1.5411,15.0829,0.0270191,39.0498,0.1896846,42.19078803062439
25.305,1.542,14.9962,0.0287764,39.0629,0.1896846,43.251317501068115
25.3182,1.5366,14.7853,0.0281396,39.0629,0.2124978,44.21119236946106
25.3122,1.5359,14.8018,0.0281396,38.9213,0.2124978,45.172723054885864
25.3024,1.5378,14.5541,0.0281865,38.9213,0.2077536,46.2331817150116
25.3112,1.5364,14.7991,0.0263034,38.9329,0.2077536,47.196537733078
25.3236,1.5397,14.7706,0.0263011,38.9329,0.1704764,48.156328439712524
25.3342,1.5384,14.4479,0.027584,39.0184,0.1704764,49.218377351760864
25.3272,1.5337,14.7636,0.0256964,39.0184,0.1584049,50.17949557304382
25.3222,1.5377,14.5717,0.0258362,38.9832,0.1584049,51.240922689437866
25.3273,1.5401,14.5703,0.0289428,38.9832,0.2234005,52.20324349403381
25.326,1.5379,14.66,0.0260167,38.9926,0.2234005,53.163732290267944
25.3284,1.5334,14.7239,0.0268654,38.9926,0.1821495,54.225008726119995
25.3382,1.5356,14.5828,0.0278783,38.9551,0.1821495,55.18472909927368
25.3437,1.5357,14.7158,0.0275731,38.9551,0.1958852,56.250444412231445
25.3511,1.5344,14.6519,0.0270945,38.9427,0.1958852,57.215291023254395
25.3687,1.5334,14.755,0.0265735,38.9427,0.1787523,58.17883634567261
25.3658,1.531,14.7594,0.0280135,38.8799,0.1787523,59.24149131774902
25.3589,1.5369,14.8321,0.0269791,38.8799,0.1894627,60.20215344429016
25.365,1.534,14.7029,0.027673,38.954,0.1894627,61.16346549987793
25.3597,1.5287,14.8083,0.0285062,38.954,0.2209502,62.22942066192627
25.3659,1.5296,14.894,0.0282461,38.8444,0.2209502,63.192463636398315
25.3637,1.5281,14.6655,0.0299955,38.8444,0.2385364,64.25246334075928
25.3682,1.5292,14.9389,0.0295988,38.8369,0.2385364,65.21361804008484
25.3787,1.5299,14.6662,0.0284598,38.8369,0.2125119,66.17451190948486
25.3778,1.534,14.6772,0.0278071,38.9758,0.2125119,67.23703813552856
25.3806,1.533,14.784,0.0265532,38.9758,0.1795398,68.19813442230225
25.3824,1.5344,14.8373,0.0278309,38.9916,0.1795398,69.16101717948914
25.3924,1.5301,14.7218,0.0281652,38.9916,0.2092428,70.22007322311401
25.3859,1.5236,14.8978,0.0283161,38.7233,0.2092428,71.18372678756714
25.3881,1.5317,14.7423,0.0276535,38.7233,0.197265,72.2468671798706
25.3917,1.5273,14.7181,0.0274794,38.8239,0.197265,73.21046471595764
25.3948,1.5282,14.7474,0.0273831,38.8239,0.192263,74.1711311340332
25.3947,1.5227,14.6709,0.0271122,38.7136,0.192263,75.23219203948975
25.3986,1.5227,14.9227,0.0297766,38.7136,0.2430165,76.1936457157135
25.4014,1.5251,14.9362,0.0272601,38.7861,0.2430165,77.15596604347229
25.4056,1.5257,14.8032,0.0271609,38.7861,0.1900596,78.219735622406
25.4127,1.5259,14.8707,0.0266254,38.822,0.1900596,79.18020606040955
25.4195,1.5283,14.9561,0.0275862,38.822,0.1994012,80.24069285392761
25.4222,1.5257,14.7269,0.0278266,38.8314,0.1994012,81.19848155975342
25.4293,1.5255,14.8713,0.0256871,38.8314,0.1586471,82.16269516944885
25.4326,1.5255,14.9611,0.0299515,38.8403,0.1586471,83.22414422035217
25.4249,1.5276,14.8307,0.0284598,38.8403,0.2150996,84.184077501297
25.4398,1.523,14.63,0.0275361,38.7898,0.2150996,85.24403953552246
25.43,1.525,14.8807,0.0274028,38.7898,0.1939756,86.20746850967407
25.4355,1.523,14.9208,0.026578,38.7835,0.1939756,87.17144441604614
25.4433,1.5258,14.8548,0.0288472,38.7835,0.2274071,88.23425316810608
25.4469,1.5264,14.9502,0.0292747,38.8857,0.2274071,89.19482851028442
25.4426,1.5238,14.7027,0.028067,38.8857,0.2074895,90.15754127502441
25.4423,1.5242,14.7546,0.0301989,38.822,0.2074895,91.21898150444031
25.4597,1.5211,14.6837,0.0274006,38.822,0.1979885,92.17868041992188
25.4612,1.5228,14.7429,0.0277185,38.8184,0.1979885,93.23892021179199
25.457,1.5214,14.9632,0.0288348,38.8184,0.225485,94.20338153839111
25.4554,1.5229,14.9086,0.0281737,38.8094,0.225485,95.16787385940552
25.4585,1.5232,15.1465,0.0303791,38.8094,0.2616183,96.23051023483276
25.4582,1.5217,15.0259,0.027523,38.7839,0.2616183,97.18998670578003
25.464,1.5219,15.0168,0.0291308,38.7839,0.2373769,98.25573325157166
25.4601,1.5198,15.1055,0.028035,38.7403,0.2373769,99.21927094459534
25.4565,1.5208,15.0649,0.028464,38.7403,0.2191157,100.18071222305298
25.4728,1.5217,15.1725,0.0304383,38.8063,0.2191157,101.24283242225647
25.4636,1.5223,15.0841,0.0308087,38.8063,0.2654047,102.20260739326477
25.4833,1.5202,14.8624,0.0300355,38.7837,0.2654047,103.16165208816528
25.4734,1.5234,14.8617,0.0307814,38.7837,0.2673986,104.22240233421326
25.4833,1.5242,14.9398,0.0288556,38.8857,0.2673986,105.18388891220093
25.4779,1.5249,14.997,0.0317601,38.8857,0.278931,106.24380493164062
25.4906,1.5246,14.9008,0.0299334,38.9085,0.278931,107.20730781555176
25.488,1.527,14.9588,0.0305446,38.9085,0.2597353,108.1707410812378
25.4902,1.5256,15.0714,0.0279492,38.932,0.2597353,109.23404145240784
25.5011,1.5264,15.1279,0.0295765,38.932,0.2433368,110.19363331794739
25.5037,1.5221,15.0746,0.0313493,38.8615,0.2433368,111.25415849685669
25.4983,1.5245,14.8159,0.029837,38.8615,0.2469903,112.21369504928589
25.4965,1.526,14.6786,0.0317412,38.9522,0.2469903,113.17521595954895
