batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out,time_stamp
28.6283,0.7626763,14.4703,0.0174937,21.8578,0.0,1.1630544662475586
28.5477,0.7531153,14.4739,0.0180973,21.8578,-0.0501878,2.2208192348480225
28.4942,0.7582558,14.6901,0.0190976,21.618,-0.0501878,3.2110493183135986
28.4673,0.7928393,14.5655,0.0179609,21.618,-0.0525115,4.1961798667907715
28.229,3.6335,98.8739,0.0188604,101.4718,-0.0525115,5.189416170120239
27.0347,15.7466,219.3654,0.0186878,101.4718,-0.0951095,6.246517658233643
26.5885,15.8589,218.8419,0.0183443,421.1391,-0.0951095,7.203397512435913
26.1531,16.1241,219.3638,0.0187295,421.1391,-0.0796392,8.174154281616211
25.7501,16.2171,218.8304,0.0190661,417.0769,-0.0796392,9.232075929641724
25.3873,16.4085,218.9898,0.0180741,417.0769,-0.0202802,10.187765836715698
25.1163,16.5663,218.9704,0.0191916,415.5739,-0.0202802,11.245809555053711
24.9262,16.7169,218.9356,0.0182755,415.5739,-0.0245118,12.206318378448486
24.7986,16.7349,218.6799,0.018094,414.5323,-0.0245118,13.163213729858398
24.7192,16.8696,219.4357,0.0185589,414.5323,-0.0605154,14.222209692001343
24.6639,16.8714,219.0993,0.0179976,415.5597,-0.0605154,15.178507566452026
24.6337,16.8859,218.9734,0.0182952,415.5597,-0.0227835,16.23718237876892
24.623,16.8844,219.0718,0.0181271,415.157,-0.0227835,17.194998264312744
24.6293,16.9061,219.3271,0.0186364,415.157,-0.0246931,18.15177083015442
24.6579,16.821,218.8451,0.0179709,414.2365,-0.0246931,19.21037244796753
24.6835,16.8826,219.249,0.0186782,414.2365,-0.0345722,20.16803550720215
24.6943,16.8588,219.2224,0.0178704,415.7834,-0.0345722,21.2255437374115
24.7104,16.8174,218.9351,0.0179575,415.7834,-0.0022283,22.182905197143555
24.7211,16.8817,219.319,0.0185201,416.7822,-0.0022283,23.240776538848877
24.7481,16.8053,218.8461,0.0181503,416.7822,-0.0429605,24.199141263961792
24.7529,16.8815,219.4205,0.0180708,417.3456,-0.0429605,25.154650688171387
24.7663,16.7931,218.9018,0.0188413,417.3456,0.0576339,26.213073015213013
24.7761,16.7678,218.8635,0.0181701,414.9455,0.0576339,27.16976499557495
24.7745,16.8506,219.4274,0.0178906,414.9455,-0.0123762,28.225555181503296
24.7885,16.7787,218.8145,0.0185298,415.4357,-0.0123762,29.184407711029053
24.7866,16.8024,219.0512,0.0181998,415.4357,-0.0612999,30.24259662628174
24.7885,16.8295,219.3739,0.0187295,416.6536,-0.0612999,31.198096990585327
24.8002,16.7582,218.8653,0.0183443,416.6536,-0.0566025,32.15771961212158
24.8012,16.7743,218.9666,0.0183017,415.5326,-0.0566025,33.21294450759888
24.7965,16.8226,219.374,0.0186203,415.5326,0.0027034,34.170971393585205
24.7952,16.821,219.2949,0.0180874,416.5989,0.0027034,35.2283616065979
24.8077,16.7371,218.8157,0.0180076,416.5989,-0.034866,36.186326026916504
24.7999,16.8095,219.3004,0.01782,416.3769,-0.034866,37.241825580596924
24.8006,16.8049,219.308,0.0178872,416.3769,0.0108167,38.19845652580261
24.7979,16.7587,218.8983,0.0180508,415.0885,0.0108167,39.1565797328949
24.8055,16.8404,219.3835,0.0182821,415.0885,-0.0116699,40.21256756782532
24.7986,16.7833,219.1393,0.0181998,415.7134,-0.0116699,41.168938398361206
24.7969,16.818,219.3983,0.0180608,415.7134,-0.0294686,42.22605109214783
24.8,16.8113,219.3431,0.0183639,416.4293,-0.0294686,43.18416881561279
24.8014,16.7917,219.1947,0.0180409,416.4293,-0.0235399,44.243834257125854
24.8049,16.836,219.3658,0.0176304,417.1181,-0.0235399,45.19990658760071
24.7992,16.8678,219.469,0.0178838,417.1181,0.0158797,46.156694412231445
24.8069,16.7435,218.7631,0.0183378,414.8726,0.0158797,47.216288566589355
24.8096,16.8407,219.4443,0.0175554,414.8726,-0.0084196,48.17272973060608
24.8078,16.8718,219.4575,0.0178872,418.0373,-0.0084196,49.233640909194946
24.8124,16.7691,218.8171,0.0179241,418.0373,-0.0886151,50.23010063171387
24.8063,16.8379,219.46,0.018675,417.1749,-0.0886151,51.22135400772095
24.8108,16.7436,218.838,0.0184064,417.1749,-0.1466522,52.214409828186035
24.8035,16.7806,218.9989,0.7311806,415.7365,-0.1466522,53.21035695075989
24.7971,16.8531,219.3873,1.4996,415.7365,328.2697,54.20652747154236
24.8049,16.7443,218.7626,1.4947,414.8604,328.2697,55.19601559638977
24.8091,16.8434,219.4345,1.5035,414.8604,328.6505,56.18877863883972
24.8127,16.7562,218.7864,1.4981,415.2729,328.6505,57.246625900268555
24.8027,16.8316,219.334,1.5007,415.2729,327.7017,58.203620195388794
24.8059,16.8159,219.1782,1.4978,416.6051,327.7017,59.1592435836792
24.7991,16.848,219.3379,1.5004,416.6051,327.696,60.21512460708618
24.8112,16.7372,218.6952,1.4967,414.7772,327.696,61.172932863235474
24.8029,16.8357,219.5403,1.5009,414.7772,328.1151,62.22885537147522
24.8096,16.7805,219.0088,1.5005,415.8238,328.1151,63.18602395057678
24.8073,16.815,219.4308,1.5025,415.8238,328.3008,64.24467873573303
24.7985,16.808,219.3499,1.4999,416.312,328.3008,65.2011456489563
24.8056,16.7506,219.0123,1.4989,416.312,326.8008,66.160320520401
24.8029,16.7567,218.9717,1.4986,415.0994,326.8008,67.21616625785828
24.808,16.8378,219.5308,1.5019,415.0994,328.3063,68.17358136177063
24.8038,16.7611,218.8791,1.4972,415.2539,328.3063,69.23327231407166
24.8005,16.7613,219.0095,1.4992,415.2539,327.0216,70.19379568099976
24.7979,16.7759,219.1928,1.4993,415.5158,327.0216,71.15246820449829
24.8006,16.7405,218.9086,1.4966,415.5158,326.1836,72.21213245391846
24.7857,16.8252,219.3776,1.501,416.4823,326.1836,73.16958117485046
24.7938,16.755,218.8466,1.4961,416.4823,326.0167,74.22880959510803
24.7877,16.828,219.4108,1.5007,416.6029,326.0167,75.18745613098145
24.7955,16.7489,218.7878,1.4985,416.6029,326.5182,76.2464349269867
24.7823,16.8208,219.4076,1.503,416.3376,326.5182,77.2034649848938
24.7856,16.7586,218.9137,1.495,416.3376,325.796,78.16256809234619
24.7743,16.8291,219.4013,1.4984,416.415,325.796,79.21916604042053
24.7835,16.7353,218.8799,1.4968,416.415,326.208,80.17832541465759
24.7813,16.8231,219.421,1.5011,416.376,326.208,81.23417687416077
24.7857,16.77,218.9264,1.4949,416.376,325.8539,82.19027972221375
24.7791,16.7391,218.8646,1.497,414.275,325.8539,83.24830079078674
24.7796,16.7423,218.9283,1.4969,414.275,326.2839,84.20499324798584
24.7737,16.8162,219.3548,1.4972,416.0882,326.2839,85.16118669509888
24.7788,16.7475,219.1089,1.4999,416.0882,327.2926,86.22054100036621
24.7841,16.7257,218.9248,1.4979,414.053,327.2926,87.17766880989075
24.7709,16.8117,219.4003,1.4984,414.053,327.3383,88.23282551765442
24.7817,16.7504,218.9545,1.4971,414.5796,327.3383,89.19195461273193
24.7794,16.7516,218.9364,1.4963,414.5796,326.1438,90.24971890449524
24.772,16.8081,219.3715,1.5,415.856,326.1438,91.20738434791565
24.7661,16.7041,218.8901,1.4942,415.856,325.593,92.1647412776947
24.7616,16.799,219.4554,1.5012,415.4583,325.593,93.22201776504517
24.769,16.7203,218.7986,1.492,415.4583,324.9915,94.17926096916199
24.7585,16.7217,218.8945,1.4967,413.5082,324.9915,95.23511862754822
24.7633,16.8202,219.4339,1.4987,413.5082,327.3907,96.19151568412781
24.7724,16.7245,218.7955,1.4953,413.8011,327.3907,97.2481734752655
24.7603,16.7984,219.361,1.499,413.8011,327.3792,98.20512294769287
24.7592,16.7988,219.3616,1.4966,415.4076,327.3792,99.16118288040161
24.7621,16.7149,218.8412,1.4965,415.4076,326.0931,100.21880269050598
24.7483,16.7987,219.4232,1.497,415.2162,326.0931,101.17622518539429
24.7582,16.7248,218.9296,1.4952,415.2162,325.847,102.23520922660828
24.7468,16.8106,219.4724,1.4981,415.4855,325.847,103.19211840629578
24.7555,16.6995,218.8342,1.4929,415.4855,325.2843,104.24826550483704
24.7479,16.8035,219.4339,1.4975,415.3361,325.2843,105.20614528656006
24.7446,16.7117,218.8835,1.4934,415.3361,325.3574,106.16273832321167
24.7403,16.7879,219.4233,1.4969,414.8263,325.3574,107.2186107635498
24.7404,16.7081,218.8251,1.4939,414.8263,325.5234,108.17571139335632
24.7321,16.799,219.3605,1.4969,414.9534,325.5234,109.23423933982849
24.7462,16.728,218.792,1.4944,414.9534,325.5055,110.19097018241882
24.7402,16.7788,219.4123,1.496,414.5864,325.5055,111.25079035758972
24.7393,16.6993,218.8816,1.4922,414.5864,325.1871,112.2074773311615
24.7381,16.7724,219.3256,1.4973,414.4041,325.1871,113.16377139091492
24.7385,16.711,218.863,1.4912,414.4041,324.9222,114.21985697746277
24.7309,16.7839,219.3544,1.497,414.5566,324.9222,115.17758321762085
24.7332,16.7615,218.8822,1.492,414.5566,325.138,116.23563957214355
24.728,16.7919,219.3201,1.4966,414.7222,325.138,117.192955493927
24.7285,16.7427,218.9483,1.492,414.7222,325.2152,118.24912071228027
24.724,16.742,219.0216,1.4952,413.4207,325.2152,119.20630478858948
24.734,16.7195,218.8908,1.4903,413.4207,324.7471,120.16442894935608
24.727,16.6775,218.7864,1.4903,411.8784,324.7471,121.22394704818726
24.7168,16.7994,219.2499,1.4963,411.8784,326.5595,122.18099927902222
24.7219,16.8221,219.3684,1.4967,415.318,326.5595,123.2386085987091
24.7159,16.744,218.8773,1.4911,415.318,324.8929,124.1955418586731
24.7111,16.7993,219.3494,1.4956,414.5918,324.8929,125.15490627288818
24.7121,16.7195,218.8864,1.4936,414.5918,325.4057,126.21220517158508
24.708,16.7993,219.3319,1.4936,414.5368,325.4057,127.17103743553162
24.7093,16.7233,218.805,1.4908,414.5368,324.6524,128.22795176506042
24.7011,16.8042,219.3665,1.4979,414.544,324.6524,129.18743062019348
24.7104,16.7156,218.8695,1.4917,414.544,324.9704,130.24409794807434
24.7075,16.7366,218.9552,1.4943,412.9877,324.9704,131.20052075386047
24.7021,16.6924,218.7528,1.4891,412.9877,324.2345,132.15895199775696
24.6957,16.7479,219.1238,1.4945,413.0455,324.2345,133.2162778377533
24.6953,16.7281,218.964,1.491,413.0455,324.9067,134.17285466194153
24.683,16.8055,219.2232,1.4928,414.2684,324.9067,135.231365442276
24.6793,16.7952,219.4097,1.4945,414.2684,326.3701,136.1893765926361
24.6961,16.7206,218.9094,1.4902,412.4241,326.3701,137.24500799179077
24.6841,16.7314,218.8996,1.4923,412.4241,325.1082,138.20159316062927
24.6872,16.7884,219.4131,1.4913,413.9006,325.1082,139.15694618225098
24.6944,16.7293,218.9669,1.4908,413.9006,324.9524,140.21522212028503
24.675,16.8067,219.4736,1.4953,414.1767,324.9524,141.17275857925415
24.6834,16.7298,218.8932,1.4903,414.1767,324.7647,142.22889399528503
24.6831,16.7659,218.966,1.4898,413.3021,324.7647,143.18580174446106
24.6776,16.7995,219.3779,1.4935,413.3021,326.0794,144.24296474456787
24.68,16.7196,218.9006,1.4919,412.0862,326.0794,145.20014667510986
24.6713,16.7789,219.1644,1.491,412.0862,325.2273,146.15797543525696
24.6889,16.7523,219.0693,1.4909,413.0625,325.2273,147.21408414840698
24.678,16.8134,219.2893,1.4931,413.0625,325.937,148.17021799087524
24.6743,16.8107,219.3446,1.4935,414.233,325.937,149.2271556854248
24.6771,16.7616,218.9245,1.4913,414.233,324.9901,150.18520212173462
24.6609,16.8061,219.402,1.4913,413.8991,324.9901,151.24234628677368
24.6603,16.8165,219.2884,1.4931,413.8991,325.8865,152.23115038871765
24.658,16.749,218.8971,1.4912,412.4554,325.8865,153.22261762619019
24.6574,16.8307,219.4688,1.4923,412.4554,325.9639,154.21816396713257
24.6593,16.7198,218.8429,1.4886,411.7475,325.9639,155.21213746070862
24.6499,16.8166,219.4322,1.4928,411.7475,326.0315,156.2052915096283
24.6629,16.7263,218.9216,1.4895,411.9975,326.0315,157.19805240631104
24.6577,16.8108,219.4113,1.4935,411.9975,326.169,158.1926989555359
24.6548,16.7868,219.2832,1.4901,413.2931,326.169,159.2502899169922
24.6561,16.7441,218.9484,1.4886,413.2931,324.4037,160.2065794467926
24.6478,16.8043,219.3955,1.4939,413.6031,324.4037,161.176020860672
24.6449,16.756,219.0298,1.4886,413.6031,324.5217,162.23342204093933
24.6429,16.809,219.3707,1.4919,413.6529,324.5217,163.1903007030487
24.6482,16.7434,218.898,1.4901,413.6529,324.7062,164.24819612503052
24.6404,16.7938,219.2073,1.4919,413.2452,324.7062,165.20618152618408
24.6407,16.7218,218.9379,1.4886,413.2452,324.3958,166.1641948223114
24.6255,16.7876,219.4165,1.491,412.7795,324.3958,167.22277998924255
24.6285,16.7302,218.8386,1.4873,412.7795,323.9219,168.17938613891602
24.6215,16.7818,219.2501,1.4893,412.6087,323.9219,169.23667359352112
24.6176,16.8369,219.3612,1.4933,412.6087,326.1095,170.19552850723267
24.6211,16.7426,218.8707,1.4897,411.671,326.1095,171.25192260742188
24.613,16.802,219.3596,1.4912,411.671,325.5628,172.21204376220703
24.6159,16.7126,218.7404,1.488,410.8278,325.5628,173.1689944267273
24.6013,16.8287,219.4056,1.4914,410.8278,325.647,174.23016166687012
24.6108,16.7498,218.7946,1.4877,411.6668,325.647,175.18860530853271
24.6143,16.8116,219.0698,1.4877,411.6668,324.406,176.24981260299683
24.6113,16.7268,218.9055,1.4873,411.1426,324.406,177.20718550682068
24.61,16.8001,219.05,1.4905,411.1426,325.0746,178.16435718536377
24.6055,16.7343,218.8595,1.4863,411.1461,325.0746,179.22169589996338
24.5947,16.8604,219.4691,1.4939,411.1461,326.388,180.17885208129883
24.605,16.7388,218.9401,1.4868,411.2904,326.388,181.2347857952118
24.5965,16.84,219.5018,1.4913,411.2904,325.8545,182.1946198940277
24.5859,16.8029,218.9576,1.4894,412.539,325.8545,183.15325593948364
24.5825,16.8541,219.5777,1.4902,412.539,325.7013,184.21083879470825
24.5892,16.7596,218.8922,1.4883,411.5488,325.7013,185.16952514648438
24.593,16.7856,219.0692,1.4881,411.5488,324.4338,186.22852516174316
24.585,16.8376,219.4229,1.4898,413.3457,324.4338,187.1850130558014
24.5836,16.7954,218.8915,1.4858,413.3457,323.7182,188.24305868148804
24.5744,16.8796,219.42,1.4921,414.1778,323.7182,189.20047044754028
24.579,16.7933,218.9505,1.4899,414.1778,324.7012,190.15587282180786
24.5771,16.8307,219.3586,1.4891,413.0473,324.7012,191.21277141571045
24.5685,16.8425,219.4394,1.4895,413.0473,325.3729,192.17117929458618
24.5736,16.7962,219.0248,1.4866,412.1746,325.3729,193.22926807403564
24.5617,16.843,219.4988,1.4897,412.1746,325.4862,194.18499279022217
24.568,16.8076,219.0033,1.4857,412.3244,325.4862,195.24088835716248
24.562,16.8823,219.5442,1.4897,412.3244,325.5119,196.20055985450745
24.5751,16.772,218.8527,1.4867,411.5872,325.5119,197.15766215324402
24.5732,16.7904,219.0309,1.4883,411.5872,324.3978,198.21671390533447
24.556,16.8275,219.3724,1.4888,412.5852,324.3978,199.17382907867432
