batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
28.6306,-0.0270027,219.4918,0.01818,-0.7855973,0.0
28.6296,-0.0314831,219.3156,0.0179174,-0.7855973,0.0979254
27.8149,1.1653,218.9108,0.0187679,32.3934,0.0979254
27.3683,1.1691,219.3848,0.0176202,32.3934,-0.0691163
27.1888,2.7549,217.4553,0.0181965,73.8271,-0.0691163
27.1888,2.7549,217.4553,0.0181965,73.8271,-0.0391945
25.4307,16.0793,218.9838,0.0183737,408.4083,-0.0391945
25.1189,16.2909,219.2273,0.0181073,408.4083,-0.0741512
24.8915,16.4489,219.2057,0.0177356,408.9905,-0.0741512
24.8141,16.4514,218.9927,0.0178031,408.9905,-0.0355395
24.7654,16.5301,218.9673,0.0190157,408.9049,-0.0355395
24.734,16.6042,218.977,0.0189335,408.9049,-0.070057
24.704,16.6532,219.2692,0.0180542,410.9148,-0.070057
24.6971,16.644,219.109,0.0189967,410.9148,-0.1003257
24.6917,16.6204,218.9494,0.0189208,409.8826,-0.1003257
24.6896,16.6361,218.9064,0.0181437,409.8826,-0.1326211
24.682,16.707,219.2485,0.0184292,411.8533,-0.1326211
24.6681,16.6672,218.9413,0.0185136,411.8533,-0.0761076
24.6789,16.6514,218.9383,0.0184974,410.4337,-0.0761076
24.6749,16.6792,219.0046,0.0181998,410.4337,-0.1497368
24.6674,16.689,219.3035,0.0180608,411.1537,-0.1497368
24.6687,16.6633,218.9925,0.0200808,411.1537,-0.0103839
24.6735,16.6567,218.9179,0.0193007,410.4578,-0.0103839
24.6726,16.6925,219.1094,0.0186686,410.4578,-0.0201176
24.6602,16.7161,219.3953,0.0187391,411.681,-0.0201176
24.6707,16.6657,218.924,0.0184909,411.681,-0.0801861
24.665,16.6684,218.9583,0.0183803,410.5912,-0.0801861
24.666,16.6876,219.0852,0.0185428,410.5912,0.0704289
24.6695,16.6901,219.2799,0.018305,411.1833,0.0704289
24.663,16.6666,219.1725,0.0187903,411.1833,-0.0874806
24.6692,16.6672,218.9931,0.018147,410.6352,-0.0874806
24.6623,16.6718,218.9376,0.0186428,410.6352,0.026187
24.6597,16.7178,219.2631,0.018147,411.6904,0.026187
24.6605,16.6558,218.9458,0.0185428,411.6904,-0.128541
24.6542,16.6597,219.0258,0.0184844,410.2014,-0.128541
24.6532,16.6928,219.2672,0.0185719,410.2014,-0.0361411
24.6598,16.6872,219.2271,0.0180774,410.983,-0.0361411
24.6631,16.6191,218.9455,0.0188477,410.983,-0.1018774
24.6588,16.6605,218.9857,0.0189493,410.3102,-0.1018774
24.6587,16.7188,219.3521,0.0187487,410.3102,-0.007282
24.6566,16.6504,218.8749,0.0194956,410.004,-0.007282
24.6592,16.6651,218.985,0.0188795,410.004,-0.0910466
24.6478,16.7239,219.4199,0.0200838,411.6234,-0.0910466
