batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
26.9795,-0.3323332,14.7415,0.0373114,-8.9574,0.0
26.98,-0.3271927,14.5421,0.0357996,-8.9574,0.3070745
26.9756,-0.3263926,14.5797,0.0360751,-8.8015,0.3070745
26.9757,-0.3257726,14.5768,0.0346029,-8.8015,0.2687487
26.9758,-0.3351335,14.7391,0.0373339,-9.0377,0.2687487
26.9483,-0.5628563,14.7115,0.0362278,-9.0377,0.3194898
26.9569,-0.2628263,14.684,0.0354204,-7.0819,0.3194898
26.959,-0.3054906,14.6546,0.0352659,-7.0819,0.2821282
26.97,-0.3082708,14.8191,0.0357861,-8.311,0.2821282
26.9635,-0.30009,14.6848,0.0346497,-8.311,0.2664688
26.9656,-0.3055706,14.7562,0.0354813,-8.2368,0.2664688
26.9675,-0.3009101,14.6232,0.0353458,-8.2368,0.2751103
26.9836,-0.3030703,14.7354,0.0351995,-8.175,0.2751103
26.9778,-0.3268127,14.6078,0.0354577,-8.175,0.2877131
26.9666,-0.3132513,14.7346,0.0347379,-8.4445,0.2877131
26.9162,-0.3407541,14.7138,0.0358632,-8.4445,0.2974438
26.9665,-0.2787879,14.6065,0.0360151,-7.5135,0.2974438
26.9634,-0.3006501,14.601,0.0349806,-7.5135,0.2789748
26.9526,-0.3106711,14.4892,0.0337887,-8.3698,0.2789748
26.9613,-0.3166717,14.6666,0.0348689,-8.3698,0.2750369
26.9673,-0.3043304,14.6289,0.0358582,-8.2038,0.2750369
26.9588,-0.3207321,14.6203,0.0364161,-8.2038,0.3110405
26.964,-0.3035504,14.5634,0.0379492,-8.1821,0.3110405
26.9575,-0.3045905,14.6218,0.0355033,-8.1821,0.2910885
26.9664,-0.2949095,14.6283,0.0358398,-7.95,0.2910885
26.9286,-0.6130813,14.4231,0.0350235,-7.95,0.2792904
26.9619,-0.2477048,14.9099,0.0341719,-6.6752,0.2792904
26.9654,-0.2730273,14.8339,0.0349875,-6.6752,0.2878475
26.9639,-0.2905691,14.8617,0.0362178,-7.8321,0.2878475
26.9658,-0.2940694,14.6767,0.0338171,-7.8321,0.2528425
26.965,-0.2978298,14.5826,0.0344569,-8.028,0.2528425
26.9638,-0.2890889,14.546,0.0368306,-8.028,0.3171208
26.9691,-0.2983298,14.5836,0.0366903,-8.0425,0.3171208
26.973,-0.3071707,14.7377,0.0372921,-8.0425,0.3254216
26.9685,-0.3230323,14.482,0.0364293,-8.7087,0.3254216
26.9667,-0.3179518,14.5726,0.0343889,-8.7087,0.2680174
26.9663,-0.3152915,14.5578,0.0342508,-8.4996,0.2680174
26.9689,-0.310431,14.6231,0.0330453,-8.4996,0.2381988
26.9772,-0.3060506,14.4701,0.0342981,-8.2535,0.2381988
26.9699,-0.3016502,14.5115,0.036105,-8.2535,0.3011239
26.9719,-0.3107311,14.4909,0.0351227,-8.3779,0.3011239
26.9709,-0.3121712,14.266,0.0335248,-8.3779,0.2336202
26.9748,-0.3209521,14.6659,0.0336802,-8.654,0.2336202
