batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
24.7445,1.9119,13.8952,0.0419878,47.3647,0.0
24.7618,1.9025,13.6974,0.0437034,47.3647,0.3061291
24.7679,1.9041,13.7674,0.0449649,47.2142,0.3061291
24.781,1.8998,13.7451,0.0456693,47.2142,0.3473504
24.7886,1.9007,13.7255,0.0451314,47.1671,0.3473504
24.7997,1.9005,13.6589,0.0450928,47.1671,0.3444673
24.8084,1.9026,13.8233,0.0432049,47.2501,0.3444673
24.8178,1.902,13.8064,0.0450556,47.2501,0.3349835
24.8241,1.9023,13.8685,0.0453754,47.2721,0.3349835
24.8237,1.8975,13.9271,0.0431577,47.2721,0.3133641
24.8279,1.9024,13.8523,0.0444387,47.2807,0.3133641
24.8286,1.8994,13.8073,0.0443414,47.2807,0.3465722
24.8443,1.899,13.8919,0.0447723,47.2269,0.3465722
24.8451,1.8971,13.8611,0.0455996,47.2269,0.364763
24.8408,1.8966,13.881,0.0446475,47.1621,0.364763
24.8586,1.8945,13.7832,0.0445816,47.1621,0.3277421
24.8615,1.8971,13.6445,0.0449462,47.2124,0.3277421
24.8625,1.8952,13.7902,0.04341,47.2124,0.297711
24.8635,1.8953,13.9139,0.044275,47.1733,0.297711
24.8632,1.8916,13.9249,0.0437323,47.1733,0.3254997
24.8652,1.8898,13.7845,0.0450022,47.0373,0.3254997
24.8632,1.8885,13.8845,0.043735,47.0373,0.3321363
24.8561,1.8919,13.7422,0.0462957,47.0743,0.3321363
24.8716,1.8921,13.6207,0.0445021,47.0743,0.3298424
24.8705,1.8888,13.817,0.0434418,47.0219,0.3298424
24.8715,1.8892,13.715,0.0432077,47.0219,0.3107967
24.8771,1.8921,13.7867,0.0428549,47.1195,0.3107967
24.8841,1.8941,13.9552,0.0432535,47.1195,0.2954983
24.8826,1.8899,13.7972,0.0441243,47.0733,0.2954983
24.8804,1.8858,13.8384,0.0450036,47.0733,0.3414998
24.889,1.8886,13.7835,0.0460683,47.0529,0.3414998
24.8908,1.8898,13.9642,0.0464045,47.0529,0.3678133
24.899,1.8887,13.8725,0.0480836,47.0762,0.3678133
24.8999,1.8871,13.9338,0.0479286,47.0762,0.3714403
24.9113,1.8887,13.9617,0.0486345,47.0983,0.3714403
24.9151,1.8831,13.8018,0.0472223,47.0983,0.3424139
24.9123,1.8885,13.9426,0.0494579,47.0952,0.3424139
24.9184,1.891,13.7907,0.0484379,47.0952,0.3680196
24.9218,1.8885,13.8902,0.0492902,47.1134,0.3680196
24.925,1.8883,13.7061,0.0471638,47.1134,0.3874872
24.917,1.888,13.8138,0.0470976,47.0919,0.3874872
24.9297,1.8891,13.9288,0.0461698,47.0919,0.3697542
24.9261,1.8906,13.9145,0.0461503,47.1745,0.3697542
24.9216,1.8932,13.906,0.0465375,47.1745,0.3707902
24.9128,1.8921,13.8304,0.0470874,47.1857,0.3707902
24.9184,1.8924,13.9238,0.0475805,47.1857,0.3898593
24.9268,1.8883,13.9785,0.0469189,47.1172,0.3898593
24.9394,1.8863,13.8211,0.0473314,47.1172,0.3898609
24.9355,1.889,13.938,0.0482356,47.1508,0.3898609
24.935,1.8906,13.9763,0.0476133,47.1508,0.3823226
24.9324,1.8915,14.0477,0.0474264,47.2076,0.3823226
24.9291,1.8903,14.0549,0.0479974,47.2076,0.3853745
24.9341,1.8911,13.8816,0.0486037,47.2015,0.3853745
24.9475,1.8918,13.7058,0.0490571,47.2015,0.4024434
24.9458,1.8869,13.8297,0.0464316,47.1186,0.4024434
24.9426,1.888,13.8927,0.0487085,47.1186,0.4166776
24.9524,1.8873,14.0181,0.0469444,47.1408,0.4166776
24.9438,1.8849,13.9296,0.0490082,47.1408,0.4298633
24.9495,1.8848,13.9633,0.0495343,47.0724,0.4298633
24.9539,1.8834,13.9592,0.0481173,47.0724,0.4134882
24.9535,1.8847,13.9564,0.0476372,47.0801,0.4134882
24.9443,1.8837,13.8262,0.0479911,47.0801,0.4139633
24.9448,1.8849,13.8897,0.0486506,47.0692,0.4139633
24.9524,1.8842,13.7155,0.0475818,47.0692,0.3863214
24.9483,1.8856,13.9497,0.0481771,47.0932,0.3863214
24.9586,1.8857,13.7527,0.0477316,47.0932,0.3819976
24.9534,1.8823,13.6795,0.0496698,47.0192,0.3819976
24.9577,1.8835,13.7939,0.0495125,47.0192,0.397621
24.9644,1.8861,13.8059,0.0496287,47.1329,0.397621
24.9661,1.8861,13.8355,0.0482356,47.1329,0.3713684
24.9614,1.884,13.9236,0.0484862,47.0759,0.3713684
24.9577,1.8869,13.8578,0.0494288,47.0759,0.4069313
24.9574,1.887,13.7232,0.0470644,47.1417,0.4069313
24.9495,1.8838,13.751,0.0474277,47.1417,0.3758329
24.9625,1.8823,13.4897,0.0472274,47.0356,0.3758329
24.9636,1.881,13.624,0.0468318,47.0356,0.3725685
24.9717,1.8819,13.6419,0.0476712,47.0429,0.3725685
24.9691,1.8836,13.677,0.0467651,47.0429,0.3769971
24.9699,1.8848,13.6473,0.0464897,47.1117,0.3769971
24.976,1.8839,13.778,0.0482007,47.1117,0.3713449
24.9761,1.8869,13.5501,0.0465774,47.1769,0.3713449
24.9818,1.886,13.7706,0.0482381,47.1769,0.3823539
24.9782,1.8824,13.6776,0.0493364,47.0653,0.3823539
24.9861,1.8812,13.7976,0.051513,47.0653,0.4006088
24.9825,1.8807,13.982,0.0494215,47.0336,0.4006088
24.9804,1.8786,13.6796,0.0497724,47.0336,0.3728857
24.9917,1.8843,13.7908,0.0503894,47.14,0.3728857
24.9934,1.8765,13.6825,0.0487602,47.14,0.3770783
24.991,1.8781,13.752,0.0478985,46.9833,0.3770783
24.9995,1.8789,13.6383,0.0491158,46.9833,0.4030028
25.0046,1.8804,13.7067,0.0481534,47.0687,0.4030028
24.9963,1.8796,13.5618,0.0498326,47.0687,0.4290398
24.9992,1.8804,13.7672,0.0475969,47.0576,0.4290398
24.9938,1.8765,13.7427,0.0487417,47.0576,0.4190216
24.9959,1.8772,13.8255,0.0486678,46.9687,0.4190216
25.0061,1.8765,13.6111,0.0467318,46.9687,0.3710605
25.0066,1.874,13.6936,0.048294,46.911,0.3710605
