batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
25.2071,1.7519,13.4503,0.0174388,44.22,0.0
25.2324,1.7547,13.4744,0.0172415,44.22,-0.0101229
25.2584,1.7513,13.6011,0.0170701,44.288,-0.0101229
25.2733,1.7495,13.5552,0.0168614,44.288,-0.0143624
25.282,1.7498,13.6512,0.017304,44.2901,-0.0143624
25.3065,1.7498,13.5829,0.0172067,44.2901,-0.0232461
25.3224,1.7448,13.4367,0.0170947,44.2371,-0.0232461
25.3358,1.7492,13.4517,0.0167794,44.2371,-0.0290873
25.345,1.749,13.5758,0.0171718,44.3829,-0.0290873
25.3725,1.7453,13.7786,0.0172206,44.3829,-0.0043754
25.3806,1.7445,13.5692,0.0172276,44.3319,-0.0043754
25.3984,1.747,13.6092,0.017311,44.3319,-0.0062788
25.4083,1.7473,13.513,0.0171368,44.4497,-0.0062788
25.4176,1.7442,13.7153,0.0168792,44.4497,-0.008779
25.4306,1.7372,13.7656,0.0171193,44.2333,-0.008779
25.4458,1.7396,13.4973,0.0180674,44.2333,-0.0282747
25.4478,1.7407,13.595,0.0172728,44.3541,-0.0282747
25.4644,1.7405,13.4583,0.0173248,44.3541,-0.0072226
25.4684,1.7384,13.6819,0.0176236,44.3287,-0.0072226
25.4777,1.7394,13.6417,0.016897,44.3287,-0.0091447
25.4928,1.7363,13.6299,0.0170032,44.3164,-0.0091447
25.5069,1.7347,13.5186,0.0172624,44.3164,-0.0110214
25.504,1.7328,13.5253,0.0179441,44.2468,-0.0110214
25.5131,1.7316,13.6314,0.0169325,44.2468,0.0019752
25.523,1.7305,13.6172,0.0173214,44.2221,0.0019752
25.5336,1.7256,13.7106,0.0174181,44.2221,0.0026534
25.54,1.7265,13.4534,0.0170982,44.1484,0.0026534
25.5457,1.7278,13.8838,0.0166538,44.1484,-0.0040192
25.5531,1.7288,13.7884,0.0169431,44.2312,-0.0040192
25.5618,1.7309,13.7159,0.0169961,44.2312,-0.0162579
25.5719,1.7301,13.661,0.0168828,44.2969,-0.0162579
25.5761,1.727,13.5312,0.0178671,44.2969,-0.0090072
25.5797,1.7246,13.3817,0.0172311,44.1684,-0.0090072
25.5839,1.7252,13.5131,0.0169785,44.1684,-0.0079664
25.5892,1.7253,13.7074,0.0176236,44.2019,-0.0079664
25.5953,1.7206,13.6466,0.0173006,44.2019,-0.0252807
25.5965,1.7205,13.9176,0.0174078,44.0941,-0.0252807
25.6091,1.7199,13.7595,0.0173075,44.0941,-0.0257119
25.6144,1.7183,13.8468,0.0174869,44.0686,-0.0257119
25.6199,1.7166,13.7486,0.0166393,44.0686,-0.0236977
25.631,1.7182,13.6076,0.0177085,44.0927,-0.0236977
25.6402,1.7176,13.867,0.0170736,44.0927,-0.018305
25.6391,1.7142,13.7363,0.0177795,44.0026,-0.018305
25.6498,1.7189,13.7897,0.0170807,44.0026,-0.0125169
25.6521,1.7216,13.6415,0.0172206,44.2138,-0.0125169
25.6592,1.721,13.8129,0.0176916,44.2138,-0.0128997
25.6626,1.7185,13.679,0.0170772,44.1548,-0.0128997
25.6692,1.721,13.831,0.0169396,44.1548,-0.0039879
25.6767,1.7206,13.7074,0.0171333,44.2309,-0.0039879
25.6795,1.7202,13.8299,0.0167077,44.2309,-0.0144827
25.6769,1.7241,13.9027,0.0174181,44.3225,-0.0144827
25.6869,1.7184,13.7217,0.0174869,44.3225,-0.0131513
