batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
25.2699,1.3326,14.522,0.0173594,33.7662,0.0
25.3504,1.7375,14.4554,0.0179408,33.7662,-0.052974
25.3504,1.7375,14.4554,0.0179408,44.0883,-0.052974
25.4123,1.7291,14.3412,0.0188126,44.0883,-0.0702101
25.4262,1.7282,14.3519,0.0178771,43.982,-0.0702101
25.4262,1.7282,14.3519,0.0178771,43.982,-0.052974
25.4537,1.7236,14.3585,0.0186364,43.9132,-0.052974
25.4886,1.7192,14.4325,0.0179876,43.9132,-0.0548774
25.4933,1.7156,14.4337,0.0181106,43.778,-0.0548774
25.5017,1.7144,14.3956,0.0172485,43.778,-0.0395446
25.5029,1.7126,14.2489,0.0181932,43.717,-0.0395446
25.5293,1.7132,14.6229,0.017857,43.717,-0.0505019
25.5303,1.7119,14.3905,0.0180708,43.7465,-0.0505019
25.5327,1.7134,14.4796,0.0181899,43.7465,-0.0642064
25.5418,1.7074,14.4583,0.0183279,43.6524,-0.0642064
25.5472,1.7113,14.5752,0.0184974,43.6524,-0.0612046
25.5543,1.7064,14.4694,0.0183148,43.6467,-0.0612046
25.5658,1.7095,14.3968,0.0185848,43.6467,-0.0644627
25.5705,1.7074,14.4656,0.0196855,43.6999,-0.0644627
25.5775,1.7051,14.358,0.01887,43.6999,-0.0721697
25.5838,1.7074,14.5586,0.0186203,43.7221,-0.0721697
25.5964,1.706,14.5463,0.0190472,43.7221,-0.0767452
25.5931,1.7065,14.3291,0.0193783,43.7153,-0.0767452
25.601,1.7033,14.4053,0.0180542,43.7153,-0.0571213
25.6019,1.7009,14.2126,0.0185233,43.587,-0.0571213
25.6163,1.702,14.5504,0.0191164,43.587,-0.0755419
25.6162,1.7053,14.6207,0.0188094,43.7232,-0.0755419
25.6176,1.7038,14.5026,0.0187327,43.7232,-0.0710212
25.6178,1.7044,14.5603,0.0189493,43.7024,-0.0710212
25.6374,1.7035,14.7317,0.019554,43.7024,-0.089112
25.6428,1.7035,14.5601,0.0182886,43.7235,-0.089112
25.6518,1.7028,14.381,0.0185622,43.7235,-0.0696132
25.6491,1.7031,14.6095,0.0175211,43.7222,-0.0696132
25.6495,1.7024,14.5921,0.018646,43.7222,-0.0640064
25.6581,1.6997,14.6943,0.0183672,43.652,-0.0640064
25.663,1.7005,14.6449,0.0190188,43.652,-0.0794267
25.6693,1.7022,14.6001,0.0196336,43.7355,-0.0794267
25.6722,1.7001,14.5414,0.0196367,43.7355,-0.0797892
25.6766,1.7016,14.3762,0.0184974,43.7309,-0.0797892
25.6854,1.6947,14.3269,0.0184942,43.7309,-0.0536397
25.69,1.6938,14.422,0.0177525,43.5534,-0.0536397
25.691,1.6972,14.2335,0.0180442,43.5534,-0.0468469
25.6934,1.6928,14.5091,0.0182426,43.5331,-0.0468469
25.6946,1.6918,14.4973,0.0179006,43.5331,-0.052024
25.6997,1.6949,14.4151,0.017678,43.599,-0.052024
25.7029,1.6981,14.3778,0.0183345,43.599,-0.0536022
25.7006,1.6981,14.6427,0.0185945,43.6829,-0.0536022
25.7076,1.6921,14.5962,0.0193814,43.6829,-0.0775046
25.7064,1.6938,14.4684,0.0185201,43.5823,-0.0775046
25.7124,1.6949,14.4137,0.0185525,43.5823,-0.055929
25.7095,1.6927,14.2309,0.0184974,43.5579,-0.055929
25.7095,1.6927,14.2309,0.0184974,43.5579,-0.0579558
25.7095,1.6906,14.3631,0.0174181,43.5053,-0.0579558
25.7237,1.6906,14.4027,0.0177085,43.5053,-0.0425386
25.7236,1.6923,14.3525,0.0184161,43.5719,-0.0425386
25.7236,1.6923,14.3525,0.0184161,43.5719,-0.0548586
25.7303,1.6891,14.5464,0.0183737,43.5007,-0.0548586
25.7302,1.6919,14.4643,0.0181304,43.5007,-0.0484986
