batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
25.7365,1.6631,14.3234,0.0184357,42.8522,0.0
25.7417,1.6653,14.4329,0.0185201,42.8522,-0.0564181
25.751,1.6646,14.4953,0.018305,42.9067,-0.0564181
25.747,1.662,14.4169,0.0181602,42.9067,-0.0584121
25.7494,1.662,14.4987,0.0184714,42.8357,-0.0584121
25.7535,1.6655,14.3892,0.0180042,42.8357,-0.0398759
25.7477,1.6611,14.4049,0.0183508,42.8108,-0.0398759
25.7428,1.6622,14.3495,0.01782,42.8108,-0.0386289
25.7376,1.6635,14.3782,0.0186782,42.8552,-0.0386289
25.7476,1.6658,14.2941,0.0181602,42.8552,-0.0497519
25.7481,1.6618,14.3962,0.0177119,42.8284,-0.0497519
25.7491,1.6603,14.2442,0.0185331,42.8284,-0.0629063
25.7577,1.656,14.2444,0.0178132,42.6946,-0.0629063
25.7512,1.6524,14.2698,0.0182525,42.6946,-0.0473016
25.751,1.6566,14.3481,0.0184194,42.6997,-0.0473016
25.7564,1.6556,14.4671,0.0176032,42.6997,-0.0502957
25.7651,1.6537,14.4693,0.0183345,42.6486,-0.0502957
25.7687,1.6594,14.4708,0.0183639,42.6486,-0.0634126
25.7549,1.6604,14.3373,0.0189746,42.9451,-0.0634126
25.7608,1.6589,14.4222,0.0180309,42.9451,-0.0623656
25.7664,1.6568,14.6101,0.0183378,42.8034,-0.0623656
25.7687,1.6593,14.4624,0.019554,42.8034,-0.0947282
25.7686,1.6564,14.4893,0.0191101,42.7228,-0.0947282
25.7717,1.6576,14.5434,0.0180907,42.7228,-0.0632469
25.7579,1.658,14.5796,0.0184519,42.7481,-0.0632469
25.7526,1.6602,14.4599,0.0188031,42.7481,-0.0717759
25.7629,1.6591,14.4883,0.0177254,42.7839,-0.0717759
25.7599,1.6592,14.4626,0.019201,42.7839,-0.0776515
25.7643,1.6523,14.529,0.0185848,42.6098,-0.0776515
25.7703,1.6582,14.2989,0.0181271,42.6098,-0.0516645
25.7778,1.6566,14.161,0.0179441,42.744,-0.0516645
25.7764,1.6583,14.4583,0.0186074,42.744,-0.0732698
25.7772,1.6582,14.4668,0.0185977,42.7858,-0.0732698
25.7724,1.6573,14.5889,0.0182196,42.7858,-0.0549758
25.776,1.656,14.4123,0.0180741,42.7247,-0.0549758
25.7864,1.659,14.3138,0.0187743,42.7247,-0.0678474
25.779,1.6554,14.2908,0.0182064,42.716,-0.0678474
25.7731,1.6554,14.3662,0.0181635,42.716,-0.0638033
25.7801,1.6535,14.2646,0.0189398,42.6688,-0.0638033
25.7829,1.6563,14.5127,0.0188222,42.6688,-0.0666973
25.7886,1.657,14.359,0.0188445,42.7727,-0.0666973
25.7823,1.6621,14.3464,0.0179341,42.7727,-0.0536179
25.7823,1.6621,14.3464,0.0179341,42.8919,-0.0536179
25.7767,1.6598,14.1856,0.0176916,42.8919,-0.0519239
