batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
28.6155,0.2286429,219.4536,0.0178435,6.5803,0.0
28.6255,0.2381038,219.2973,0.0180042,6.5803,-0.0625938
28.6195,0.2205621,219.3118,0.0182097,6.3433,-0.0625938
28.6212,0.2184618,219.0209,0.0179475,6.3433,0.0578683
28.6214,0.2258426,219.024,0.0181139,6.497,0.0578683
28.6124,0.2181218,219.1161,0.0179675,6.497,-0.0388539
27.9023,-0.9716372,219.294,0.0179642,-27.0818,-0.0388539
27.3712,-0.9838584,219.3659,0.0181371,-27.0818,0.0040129
27.2595,-0.9953996,218.9929,0.0179341,-27.0922,0.0040129
27.1925,-0.9789379,218.9244,0.0181569,-27.0922,0.0598279
26.0379,-15.763,218.5383,0.0178671,-211.9844,0.0598279
25.567,-15.7531,218.1967,0.0178368,-211.9844,0.0154328
25.2107,-16.0824,219.3523,0.0184974,-211.9844,0.0154328
24.9759,-16.2586,219.2344,0.0183214,-211.9844,0.1195151
24.833,-16.2972,218.8601,0.0184877,-211.9844,0.1195151
24.7552,-16.3125,218.8108,0.0179609,-211.9844,-0.053421
24.6964,-16.3428,219.2517,0.0185848,-211.9844,-0.053421
24.6535,-16.3639,219.3164,0.0176848,-211.9844,0.0658941
24.6486,-16.3222,219.4079,0.0183083,-211.9844,0.0658941
24.6336,-16.2962,218.864,0.0178805,-211.9844,0.0190769
24.6265,-16.3208,219.0606,0.0181172,-211.9844,0.0190769
24.6179,-16.3206,219.3471,0.0180342,-211.9844,-0.0278622
24.6174,-16.3478,219.4744,0.0179609,-211.9844,-0.0278622
24.6175,-16.3103,219.1138,0.0177559,-211.9844,0.0593591
24.6062,-16.3025,219.0251,0.0189651,-211.9844,0.0593591
24.5976,-16.3269,219.3594,0.0179609,-211.9844,-0.0189738
24.5969,-16.3122,219.0688,0.0179107,-211.9844,-0.0189738
24.6034,-16.2799,218.8462,0.0185298,-211.9844,-0.1165054
24.5836,-16.367,219.4595,0.0178906,-211.9844,-0.1165054
24.5838,-16.309,219.1403,0.0175177,-211.9844,-0.0516239
24.5888,-16.3091,218.9332,0.0175519,-211.9844,-0.0516239
24.5746,-16.3487,219.4671,0.0182459,-211.9844,0.0353567
24.5982,-16.2961,219.0944,0.0187327,-211.9844,0.0353567
24.5943,-16.2745,218.9582,0.0173491,-211.9844,-0.0319063
24.5983,-16.33,219.308,0.0176474,-211.9844,-0.0319063
24.5911,-16.3224,219.4034,0.0178939,-211.9844,0.0094338
24.6018,-16.3255,219.0607,0.0179441,-211.9844,0.0094338
24.5924,-16.3182,219.4121,0.0182788,-211.9844,0.0036066
24.5977,-16.2973,218.8805,0.01818,-211.9844,0.0036066
24.6049,-16.3341,219.0855,0.0178503,-211.9844,0.0568651
24.5989,-16.317,219.2927,0.017914,-211.9844,0.0568651
24.5899,-16.3633,219.258,0.0180475,-211.9844,-0.0539929
25.6385,-1.0566,218.1581,0.0175006,-27.0617,-0.0539929
25.7509,-1.1873,219.349,0.0175177,-27.0617,-0.0156328
25.8039,-1.1774,219.3093,0.0175451,-30.3455,-0.0156328
25.8628,-1.2009,219.3717,0.0180409,-30.3455,0.0029159
25.8906,-1.1852,219.3603,0.0176032,-30.6497,0.0029159
25.9163,-1.1964,218.9609,0.0177356,-30.6497,-0.0186019
25.9437,-0.1576958,218.9811,0.0171298,-4.0862,-0.0186019
25.9597,0.0505451,219.1317,0.0177221,-4.0862,0.0490674
25.9767,0.9638964,219.3137,0.0177525,25.0145,0.0490674
25.9815,0.9764177,218.9096,0.0179742,25.0145,0.0037394
25.999,0.979478,219.0139,0.0178671,25.4423,0.0037394
26.009,0.9875588,219.3548,0.0177153,25.4423,-0.0791954
26.0077,0.9957196,219.0165,0.018546,25.8708,-0.0791954
26.0301,0.9977998,219.0169,0.0178872,25.8708,0.0029753
26.0421,0.980118,219.3643,0.0179809,25.4993,0.0029753
26.0339,0.9905591,219.509,0.0177085,25.4993,-0.0682162
26.0401,0.9764377,218.9464,0.0185654,25.4025,-0.0682162
26.046,0.9844985,219.3189,0.0177896,25.4025,-0.0353864
26.0569,0.9542754,218.9959,0.017644,24.8404,-0.0353864
26.0546,0.9831383,218.9984,0.0180342,24.8404,0.0552805
26.062,0.9759776,219.1118,0.0179542,25.411,0.0552805
26.0616,0.9757776,219.0537,0.0181205,25.411,-0.0552555
26.08,0.9861386,219.0619,0.0177254,25.6937,-0.0552555
26.0689,0.9703571,219.3356,0.0172276,25.6937,-0.0953283
26.0666,0.9807981,219.3073,0.0178166,25.5413,-0.0953283
26.0742,0.9664367,218.9759,0.0175724,25.5413,-0.0214771
26.0695,0.9887589,219.0736,0.0177051,25.7525,-0.0214771
26.0826,0.9904791,219.3226,0.0174456,25.7525,-0.0540835
26.0832,0.9962796,218.8184,0.017356,25.9626,-0.0540835
26.0685,1.0047,219.2964,0.0175759,25.9626,-0.0012783
26.0596,1.2052,218.4827,0.0176848,31.3235,-0.0012783
24.806,16.4848,218.7214,0.0179475,31.3235,-0.0964346
24.7008,16.5979,219.084,0.0182985,409.4957,-0.0964346
24.6377,16.6668,219.3198,0.0183247,409.4957,-0.1013117
24.6202,16.6829,219.2969,0.0179609,410.1662,-0.1013117
24.608,16.6342,218.968,0.0180042,410.1662,-0.0183862
24.6009,16.6739,219.4188,0.0178166,409.6504,-0.0183862
24.6004,16.6251,219.3042,0.0182525,409.6504,-0.0207146
24.5985,16.6101,218.8488,0.0180409,408.0345,-0.0207146
24.596,16.6239,218.9316,0.0179308,408.0345,-0.0325751
24.5819,16.6692,219.2644,0.0177119,409.1816,-0.0325751
